date,cases,ICSA
2020-01-21,1,0.0
2020-01-22,1,0.0
2020-01-23,1,0.0
2020-01-24,2,0.0
2020-01-25,3,0.0
2020-01-26,5,0.0
2020-01-27,5,0.0
2020-01-28,5,0.0
2020-01-29,5,0.0
2020-01-30,6,0.0
2020-01-31,7,0.0
2020-02-01,8,0.0
2020-02-02,11,0.0
2020-02-03,11,0.0
2020-02-04,11,0.0
2020-02-05,12,0.0
2020-02-06,12,0.0
2020-02-07,12,0.0
2020-02-08,12,0.0
2020-02-09,12,0.0
2020-02-10,13,0.0
2020-02-11,13,0.0
2020-02-12,14,0.0
2020-02-13,15,0.0
2020-02-14,15,0.0
2020-02-15,15,0.0
2020-02-16,15,0.0
2020-02-17,25,0.0
2020-02-18,25,0.0
2020-02-19,25,0.0
2020-02-20,27,0.0
2020-02-21,30,0.0
2020-02-22,30,0.0
2020-02-23,30,0.0
2020-02-24,43,0.0
2020-02-25,45,0.0
2020-02-26,60,0.0
2020-02-27,60,0.0
2020-02-28,65,0.0
2020-02-29,70,0.0
2020-03-01,88,0.0
2020-03-02,104,0.0
2020-03-03,125,0.0
2020-03-04,161,0.0
2020-03-05,228,0.0
2020-03-06,311,0.0
2020-03-07,428,0.0
2020-03-08,547,0.0
2020-03-09,748,0.0
2020-03-10,1018,0.0
2020-03-11,1263,0.0
2020-03-12,1668,0.0
2020-03-13,2224,0.0
2020-03-14,2898,0.0
2020-03-15,3600,0.0
2020-03-16,4507,0.0
2020-03-17,5905,0.0
2020-03-18,8345,0.0
2020-03-19,12413,0.0
2020-03-20,17996,0.0
2020-03-21,24532,0.0
2020-03-22,33061,0.0
2020-03-23,43499,0.0
2020-03-24,53938,0.0
2020-03-25,68515,0.0
2020-03-26,85533,0.0
2020-03-27,102648,0.0
2020-03-28,123628,0.0
2020-03-29,142161,0.0
2020-03-30,163796,0.0
2020-03-31,187834,0.0
2020-04-01,214461,0.0
