date,cases,claims
01/21/20,1,220000
01/22/20,1,220000
01/23/20,1,220000
01/24/20,2,220000
01/25/20,3,212000
01/26/20,5,212000
01/27/20,5,212000
01/28/20,5,212000
01/29/20,5,212000
01/30/20,6,212000
01/31/20,7,212000
02/01/20,8,201000
02/02/20,11,201000
02/03/20,11,201000
02/04/20,11,201000
02/05/20,12,201000
02/06/20,12,201000
02/07/20,12,201000
02/08/20,12,204000
02/09/20,12,204000
02/10/20,13,204000
02/11/20,13,204000
02/12/20,14,204000
02/13/20,15,204000
02/14/20,15,204000
02/15/20,15,215000
02/16/20,15,215000
02/17/20,25,215000
02/18/20,25,215000
02/19/20,25,215000
02/20/20,27,215000
02/21/20,30,215000
02/22/20,30,220000
02/23/20,30,220000
02/24/20,43,220000
02/25/20,45,220000
02/26/20,60,220000
02/27/20,60,220000
02/28/20,65,220000
02/29/20,70,217000
03/01/20,88,217000
03/02/20,104,217000
03/03/20,125,217000
03/04/20,161,217000
03/05/20,228,217000
03/06/20,311,217000
03/07/20,428,211000
03/08/20,547,211000
03/09/20,748,211000
03/10/20,1018,211000
03/11/20,1263,211000
03/12/20,1668,211000
03/13/20,2224,211000
03/14/20,2898,282000
03/15/20,3600,282000
03/16/20,4507,282000
03/17/20,5905,282000
03/18/20,8345,282000
03/19/20,12413,282000
03/20/20,17996,282000
03/21/20,24532,3307000
03/22/20,33061,3307000
03/23/20,43499,3307000
03/24/20,53938,3307000
03/25/20,68515,3307000
03/26/20,85533,3307000
03/27/20,102648,3307000
03/28/20,123628,6648000
03/29/20,142161,6648000
03/30/20,163796,6648000
03/31/20,187834,6648000
04/01/20,214461,6648000
04/02/20,244228,6648000
04/03/20,276382,6648000
04/04/20,311536,6648000
04/05/20,337072,6648000
