county,date,ML,Low_90,High_90,Low_50,High_50
Miami-Dade,2020-03-15,3.0,1.01,6.99,2.04,4.45
Miami-Dade,2020-03-16,2.18,0.91,3.81,1.69,2.92
Miami-Dade,2020-03-17,1.93,0.9,3.24,1.55,2.54
Miami-Dade,2020-03-18,1.93,0.99,3.08,1.58,2.46
Miami-Dade,2020-03-19,2.0,1.12,3.03,1.69,2.49
Miami-Dade,2020-03-20,2.06,1.22,2.95,1.75,2.47
Miami-Dade,2020-03-21,2.16,1.38,2.95,1.88,2.53
Miami-Dade,2020-03-22,2.27,1.58,3.0,2.03,2.62
Miami-Dade,2020-03-23,2.45,1.84,3.11,2.21,2.73
Miami-Dade,2020-03-24,2.59,2.04,3.16,2.38,2.84
Miami-Dade,2020-03-25,2.65,2.18,3.17,2.49,2.9
Miami-Dade,2020-03-26,2.7,2.28,3.15,2.56,2.92
Miami-Dade,2020-03-27,2.58,2.21,2.99,2.44,2.76
Miami-Dade,2020-03-28,2.52,2.19,2.89,2.41,2.7
Miami-Dade,2020-03-29,2.35,2.05,2.69,2.23,2.49
Miami-Dade,2020-03-30,2.26,1.99,2.58,2.15,2.39
Miami-Dade,2020-03-31,2.16,1.9,2.45,2.08,2.31
Miami-Dade,2020-04-01,2.07,1.82,2.33,1.98,2.19
Miami-Dade,2020-04-02,1.88,1.66,2.15,1.8,2.0
Miami-Dade,2020-04-03,1.82,1.61,2.08,1.73,1.92
Miami-Dade,2020-04-04,1.7,1.48,1.93,1.63,1.82
Miami-Dade,2020-04-05,1.59,1.38,1.82,1.51,1.69
Miami-Dade,2020-04-06,1.48,1.27,1.7,1.41,1.59
Miami-Dade,2020-04-07,1.39,1.18,1.61,1.32,1.5
Miami-Dade,2020-04-08,1.32,1.12,1.55,1.26,1.44
Miami-Dade,2020-04-09,1.28,1.07,1.49,1.22,1.4
Miami-Dade,2020-04-10,1.2,1.0,1.42,1.14,1.32
Miami-Dade,2020-04-11,1.13,0.92,1.34,1.07,1.25
Miami-Dade,2020-04-12,1.1,0.9,1.33,1.03,1.21
Miami-Dade,2020-04-13,1.03,0.8200000000000001,1.25,0.96,1.14
Miami-Dade,2020-04-14,1.03,0.8200000000000001,1.25,0.96,1.14
Miami-Dade,2020-04-15,0.98,0.76,1.19,0.91,1.09
Miami-Dade,2020-04-16,0.98,0.78,1.22,0.9,1.08
Miami-Dade,2020-04-17,0.96,0.75,1.19,0.88,1.06
Miami-Dade,2020-04-18,0.99,0.78,1.22,0.91,1.09
Miami-Dade,2020-04-19,0.93,0.71,1.15,0.8300000000000001,1.01
Miami-Dade,2020-04-20,0.96,0.75,1.2,0.9,1.09
Miami-Dade,2020-04-21,0.93,0.71,1.16,0.86,1.05
Miami-Dade,2020-04-22,0.9,0.68,1.13,0.8300000000000001,1.02
Miami-Dade,2020-04-23,0.9,0.68,1.13,0.8300000000000001,1.02
Miami-Dade,2020-04-24,0.88,0.67,1.13,0.81,1.0
Miami-Dade,2020-04-25,0.85,0.63,1.09,0.77,0.96
Miami-Dade,2020-04-26,0.85,0.62,1.08,0.76,0.95
Miami-Dade,2020-04-27,0.76,0.54,1.01,0.7000000000000001,0.9
Miami-Dade,2020-04-28,0.77,0.55,1.03,0.7000000000000001,0.9
Miami-Dade,2020-04-29,0.8300000000000001,0.6,1.08,0.75,0.95
Miami-Dade,2020-04-30,0.79,0.54,1.02,0.7000000000000001,0.9
Miami-Dade,2020-05-01,0.84,0.61,1.1,0.75,0.95
Miami-Dade,2020-05-02,0.8300000000000001,0.6,1.09,0.74,0.94
Miami-Dade,2020-05-03,0.86,0.62,1.11,0.79,1.0
Miami-Dade,2020-05-04,0.88,0.65,1.15,0.81,1.02
Miami-Dade,2020-05-05,0.8,0.56,1.06,0.72,0.93
Miami-Dade,2020-05-06,0.78,0.53,1.03,0.7000000000000001,0.91
Miami-Dade,2020-05-07,0.79,0.55,1.06,0.7000000000000001,0.91
Miami-Dade,2020-05-08,0.75,0.5,1.01,0.65,0.86
Miami-Dade,2020-05-09,0.8,0.55,1.07,0.73,0.95
Miami-Dade,2020-05-10,0.8,0.54,1.06,0.72,0.94
Miami-Dade,2020-05-11,0.84,0.6,1.13,0.76,0.98
Miami-Dade,2020-05-12,0.94,0.6900000000000001,1.22,0.85,1.07
Miami-Dade,2020-05-13,1.03,0.77,1.29,0.95,1.17
Miami-Dade,2020-05-14,1.1,0.86,1.38,1.03,1.25
Miami-Dade,2020-05-15,1.14,0.89,1.4,1.05,1.26
Miami-Dade,2020-05-16,1.09,0.86,1.37,1.01,1.22
Miami-Dade,2020-05-17,1.06,0.81,1.31,0.98,1.19
Miami-Dade,2020-05-18,1.02,0.79,1.29,0.95,1.16
Miami-Dade,2020-05-19,0.96,0.72,1.22,0.89,1.1
Miami-Dade,2020-05-20,0.9,0.65,1.15,0.8200000000000001,1.03
Miami-Dade,2020-05-21,0.87,0.63,1.14,0.78,0.99
Miami-Dade,2020-05-22,0.88,0.64,1.15,0.79,1.0
