date,county,state,fips,cases,k,deaths,ML,Low_90,High_90,Low_50,High_50
2020-03-15,Miami-Dade,Florida,12086,13,5,0,3,0.86,6.84,1.86,4.27
2020-03-16,Miami-Dade,Florida,12086,23,10,0,2.18,0.84,3.78,1.48,2.72
2020-03-17,Miami-Dade,Florida,12086,43,20,0,1.93,0.78,3.2,1.4,2.41
2020-03-18,Miami-Dade,Florida,12086,77,34,0,1.93,0.84,3.04,1.38,2.3
2020-03-19,Miami-Dade,Florida,12086,101,24,0,2.01,0.98,3.02,1.5,2.35
2020-03-20,Miami-Dade,Florida,12086,124,23,0,2.08,1.08,2.97,1.62,2.4
2020-03-21,Miami-Dade,Florida,12086,170,46,0,2.2,1.3,3.04,1.77,2.49
2020-03-22,Miami-Dade,Florida,12086,228,58,0,2.32,1.48,3.08,1.93,2.59
2020-03-23,Miami-Dade,Florida,12086,277,49,0,2.55,1.77,3.23,2.2,2.8
2020-03-24,Miami-Dade,Florida,12086,365,88,0,2.71,2,3.32,2.4,2.94
2020-03-25,Miami-Dade,Florida,12086,489,124,0,2.75,2.11,3.3,2.46,2.95
2020-03-26,Miami-Dade,Florida,12086,653,164,0,2.8,2.25,3.32,2.55,2.99
2020-03-27,Miami-Dade,Florida,12086,869,216,2,2.55,2.01,3,2.29,2.7
2020-03-28,Miami-Dade,Florida,12086,1121,252,3,2.47,1.98,2.9,2.24,2.62
2020-03-29,Miami-Dade,Florida,12086,1471,350,3,2.17,1.7,2.57,1.94,2.3
2020-03-30,Miami-Dade,Florida,12086,1700,229,4,2.06,1.63,2.46,1.88,2.22
2020-03-31,Miami-Dade,Florida,12086,2123,423,7,1.92,1.5,2.3,1.72,2.05
2020-04-01,Miami-Dade,Florida,12086,2415,292,11,1.84,1.41,2.19,1.64,1.96
2020-04-02,Miami-Dade,Florida,12086,2885,470,20,1.49,1.08,1.84,1.32,1.63
2020-04-03,Miami-Dade,Florida,12086,3363,478,25,1.51,1.11,1.86,1.32,1.63
2020-04-04,Miami-Dade,Florida,12086,3889,526,31,1.33,0.93,1.67,1.12,1.43
2020-04-05,Miami-Dade,Florida,12086,4145,256,31,1.2,0.8,1.54,0.99,1.3
2020-04-06,Miami-Dade,Florida,12086,4670,525,41,1.05,0.65,1.39,0.84,1.15
2020-04-07,Miami-Dade,Florida,12086,5125,455,47,0.96,0.58,1.32,0.76,1.07
2020-04-08,Miami-Dade,Florida,12086,5460,335,50,0.94,0.54,1.29,0.75,1.06
2020-04-09,Miami-Dade,Florida,12086,5897,437,66,0.98,0.59,1.34,0.79,1.1
2020-04-10,Miami-Dade,Florida,12086,6299,402,84,0.87,0.45,1.21,0.69,1
2020-04-11,Miami-Dade,Florida,12086,6757,458,93,0.76,0.34,1.11,0.55,0.87
2020-04-12,Miami-Dade,Florida,12086,7057,300,97,0.81,0.39,1.17,0.62,0.94
2020-04-13,Miami-Dade,Florida,12086,7458,401,109,0.69,0.25,1.04,0.47,0.8
2020-04-14,Miami-Dade,Florida,12086,7711,253,143,0.85,0.41,1.21,0.64,0.97
2020-04-15,Miami-Dade,Florida,12086,8066,355,155,0.73,0.31,1.11,0.54,0.87
2020-04-16,Miami-Dade,Florida,12086,8325,259,183,0.84,0.41,1.22,0.61,0.95
2020-04-17,Miami-Dade,Florida,12086,8823,498,195,0.82,0.37,1.19,0.59,0.93
2020-04-18,Miami-Dade,Florida,12086,9044,221,198,1,0.55,1.37,0.78,1.12
2020-04-19,Miami-Dade,Florida,12086,9353,309,207,0.97,0.54,1.35,0.75,1.09
2020-04-20,Miami-Dade,Florida,12086,9656,303,223,1.06,0.62,1.43,0.88,1.21
2020-04-21,Miami-Dade,Florida,12086,10055,399,233,0.87,0.43,1.24,0.69,1.02
