county,date,ML,Low_90,High_90,Low_50,High_50
Alachua,2020-03-19,3.0,1.01,6.99,2.04,4.45
Alachua,2020-03-20,2.21,0.8200000000000001,4.28,1.58,3.0300000000000002
Alachua,2020-03-21,1.9000000000000001,0.76,3.62,1.3900000000000001,2.59
Alachua,2020-03-22,1.81,0.75,3.38,1.3900000000000001,2.5
Alachua,2020-03-23,1.75,0.74,3.2,1.29,2.32
Alachua,2020-03-24,1.69,0.6900000000000001,3.0100000000000002,1.3,2.2800000000000002
Alachua,2020-03-25,1.6500000000000001,0.71,2.93,1.23,2.16
Alachua,2020-03-26,1.61,0.6900000000000001,2.82,1.26,2.16
Alachua,2020-03-27,1.57,0.7000000000000001,2.7600000000000002,1.18,2.04
Alachua,2020-03-28,1.6,0.7000000000000001,2.72,1.26,2.11
Alachua,2020-03-29,1.57,0.68,2.63,1.23,2.05
Alachua,2020-03-30,1.49,0.66,2.5300000000000002,1.12,1.9000000000000001
Alachua,2020-03-31,1.52,0.6900000000000001,2.54,1.22,2.0
Alachua,2020-04-01,1.49,0.66,2.46,1.2,1.96
Alachua,2020-04-02,1.47,0.67,2.43,1.18,1.92
Alachua,2020-04-03,1.49,0.7000000000000001,2.44,1.21,1.94
Alachua,2020-04-04,1.47,0.7000000000000001,2.4,1.18,1.8900000000000001
Alachua,2020-04-05,1.45,0.68,2.34,1.1300000000000001,1.82
Alachua,2020-04-06,1.43,0.68,2.31,1.1500000000000001,1.83
Alachua,2020-04-07,1.41,0.68,2.2800000000000002,1.1500000000000001,1.82
Alachua,2020-04-08,1.3900000000000001,0.66,2.23,1.08,1.73
Alachua,2020-04-09,1.41,0.7000000000000001,2.2600000000000002,1.16,1.81
Alachua,2020-04-10,1.36,0.65,2.17,1.08,1.71
Alachua,2020-04-11,1.35,0.65,2.15,1.07,1.69
Alachua,2020-04-12,1.34,0.64,2.12,1.1,1.72
Alachua,2020-04-13,1.27,0.59,2.04,1.0,1.6
Alachua,2020-04-14,1.23,0.5700000000000001,2.0100000000000002,1.0,1.6
Alachua,2020-04-15,1.2,0.55,1.98,0.9500000000000001,1.54
Alachua,2020-04-16,1.2,0.52,1.94,0.9500000000000001,1.54
Alachua,2020-04-17,1.2,0.52,1.94,0.9500000000000001,1.54
Alachua,2020-04-18,1.19,0.53,1.95,0.96,1.55
Alachua,2020-04-19,1.22,0.54,1.96,0.98,1.57
Alachua,2020-04-20,1.21,0.55,1.97,0.98,1.57
Alachua,2020-04-21,1.24,0.58,2.0,1.01,1.6
Alachua,2020-04-22,1.23,0.5700000000000001,1.98,0.96,1.54
Alachua,2020-04-23,1.23,0.55,1.95,0.98,1.56
Alachua,2020-04-24,1.2,0.53,1.92,0.97,1.55
Alachua,2020-04-25,1.19,0.54,1.93,0.91,1.48
Alachua,2020-04-26,1.19,0.54,1.93,0.93,1.5
Alachua,2020-04-27,1.19,0.52,1.9000000000000001,0.9400000000000001,1.51
Alachua,2020-04-28,1.16,0.51,1.8900000000000001,0.92,1.49
Alachua,2020-04-29,1.1500000000000001,0.51,1.8900000000000001,0.92,1.49
Alachua,2020-04-30,1.18,0.53,1.9100000000000001,0.9400000000000001,1.51
Alachua,2020-05-01,1.17,0.53,1.9100000000000001,0.9400000000000001,1.51
Alachua,2020-05-02,1.17,0.5,1.87,0.9500000000000001,1.52
Alachua,2020-05-03,1.17,0.51,1.8800000000000001,0.9500000000000001,1.52
Alachua,2020-05-04,1.17,0.52,1.8900000000000001,0.9500000000000001,1.52
Alachua,2020-05-05,1.16,0.52,1.8900000000000001,0.9,1.46
Alachua,2020-05-06,1.16,0.49,1.85,0.91,1.47
Alachua,2020-05-07,1.1300000000000001,0.48,1.84,0.89,1.45
Alachua,2020-05-08,1.1300000000000001,0.48,1.84,0.89,1.45
Alachua,2020-05-09,1.1500000000000001,0.49,1.85,0.91,1.47
Alachua,2020-05-10,1.1500000000000001,0.5,1.86,0.91,1.47
Alachua,2020-05-11,1.12,0.48,1.84,0.89,1.45
Alachua,2020-05-12,1.12,0.48,1.84,0.89,1.45
Alachua,2020-05-13,1.1,0.45,1.81,0.86,1.42
Alachua,2020-05-14,1.1,0.44,1.8,0.86,1.42
Alachua,2020-05-15,1.07,0.41000000000000003,1.77,0.8200000000000001,1.3800000000000001
Alachua,2020-05-16,1.07,0.42,1.79,0.81,1.37
Alachua,2020-05-17,1.07,0.41000000000000003,1.78,0.85,1.42
Alachua,2020-05-18,1.07,0.42,1.8,0.84,1.41
Alachua,2020-05-19,1.09,0.42,1.8,0.85,1.42
Alachua,2020-05-20,1.12,0.46,1.85,0.87,1.44
